,std,std_diff,hist_cor,hist_inters,hist_alike,hist_mean,cos,pixel_lap,std_diff_lap,hist_64_corr_lap,hist_kl_div_lap,hist_alike_lap,pixel_eq,dr_dif_eq,std_eq,hist_inters_eq,hist_alike_eq,hist_mean_eq,cos_eq,pixel_lap_lap_eq,br_lap_lap_eq,std_diff_lap_lap_eq,answer
0,0.121511005,116.15941,0.99772125,835.02,1.4488412,63.921875,152.51826,7274.746,96.42984,0.98576635,90.130646,0.014212546,1613.2517,119.70814,0.055326782,892.36,0.13728692,281.53125,154.28915,10972.829,0.23798177,89.318436,0.0
1,0.18900613,117.44659,0.9902169,827.07,0.608465,131.48438,152.70184,7427.6704,96.11227,0.9816264,-42.74455,0.009211924,1617.4808,116.9873,0.094414346,859.24,0.069089696,388.79688,154.65837,11132.682,2.5626216,89.167366,0.0
2,0.048870493,116.04173,0.98241836,828.17,0.8752473,153.3125,152.74176,7434.7305,95.92714,0.9802556,113.82508,0.0066112126,1647.5197,119.382324,0.051352,916.29,0.09079406,260.90625,154.05928,11096.594,0.62086046,88.75454,0.0
3,0.3292099,117.41764,0.9933426,870.49,0.6479111,123.015625,152.83575,7472.285,95.74248,0.9829288,-47.860275,0.007892967,1665.8048,119.89655,0.35624802,910.72,0.066868596,280.90625,154.48793,11122.42,1.3380089,88.82253,0.0
4,0.20042273,116.07459,0.9843454,884.57,0.6641575,173.04688,152.74332,7508.344,95.72987,0.9828549,109.29267,0.007371388,1684.4175,120.98678,0.24782301,994.33,0.075178154,302.95312,154.93657,11227.448,1.4368565,88.717064,0.0
5,0.48426825,117.29646,0.9902261,947.08,0.59184414,146.10938,152.65945,7506.774,95.63731,0.98186326,-45.895863,0.0072414973,1710.15,116.49386,0.47939456,1017.69,0.08224492,273.17188,154.46254,11169.586,1.509847,88.87988,0.0
6,0.9430857,116.0158,0.97834283,984.57,0.5168026,216.1875,152.40318,7912.2246,95.35711,0.9813314,21.299671,0.010506366,1876.8927,113.787056,0.810323,1033.37,0.19862266,396.09375,154.51108,11559.977,0.16291884,88.5438,0.0
7,1.0583048,115.35421,0.98421043,1091.64,0.40462038,284.39062,151.66064,8226.342,95.29478,0.9828664,38.285805,0.009282901,2034.148,111.90528,0.75010467,1043.93,0.46897435,624.6406,154.28078,11921.576,1.2346202,88.52513,0.0
8,0.7628759,114.62897,0.9790134,1202.53,2.896196,370.26562,150.93799,8324.816,95.53509,0.9812714,88.167694,0.03299647,2151.0667,118.22,0.6987326,1174.08,0.49231488,573.2344,153.92839,12101.4,3.1293597,88.29319,0.0
9,0.7996381,114.96938,0.97946346,1361.9,0.37931687,455.5,150.48386,8133.7075,96.12128,0.97468346,-8.724361,0.01727947,2134.5522,120.29066,0.7562103,1290.52,0.17202145,558.375,154.17392,11725.384,0.08847114,89.02544,0.0
10,0.45808694,114.18736,0.99140394,1539.09,0.72870636,351.39062,150.67604,7871.3784,96.66325,0.9821198,153.58873,0.039764922,2046.6849,117.615456,0.35227427,1338.43,0.09333286,872.3594,153.90448,11292.843,2.7673123,89.3908,0.0
11,0.39189368,116.32665,0.99766463,1694.83,0.63909876,262.70312,150.88838,7396.216,97.12624,0.9828734,-56.369293,0.015242166,1890.8608,116.37571,0.41025504,1517.46,0.060064197,684.6719,152.97884,10715.087,1.3393555,89.84388,0.0
12,0.18491416,114.63085,0.99800944,1772.04,0.6777787,189.73438,150.51067,6879.411,97.77425,0.9799844,124.55091,0.009939014,1782.5728,118.77829,0.17141125,1479.75,0.06455969,1048.2969,153.03313,10001.886,1.7919737,90.2889,0.0
13,0.2583224,116.88748,0.9985176,1905.31,0.32520303,173.1875,150.744,6376.2515,98.13964,0.9827261,-41.538986,0.007875893,1668.4961,113.47094,0.20916386,1737.81,0.05217925,605.03125,152.27087,9326.446,1.912895,90.61124,0.0
14,0.04139007,114.86301,0.9942792,1915.83,0.33570027,222.23438,150.41418,5894.4814,98.58266,0.9808509,83.00473,0.006851032,1529.152,113.29697,0.054970477,1670.08,0.044921372,617.8281,151.38272,8900.798,0.0171875,90.92022,0.0
15,0.27798277,117.70748,0.9974909,1975.56,0.21996406,196.40625,150.12326,5546.6694,98.52257,0.98106474,-65.21988,0.009635413,1427.6705,113.49703,0.24316713,1754.34,0.021986106,554.6406,151.48831,8473.875,2.4011154,90.93652,0.0
16,0.021588929,114.15358,0.99196774,1976.15,0.3220486,285.96875,149.93506,5183.5713,99.381195,0.9785536,118.75323,0.0064803283,1359.1455,121.14781,0.016992936,1551.32,0.053840153,970.2344,151.84602,7921.5303,0.4563813,91.80285,0.0
17,0.13775437,117.246216,0.99627936,2041.6,0.19574894,193.03125,149.68213,5019.1523,99.344284,0.9858959,-2.0319,0.0073898667,1291.4697,107.40976,0.11530476,1607.91,0.05918717,981.5781,150.69594,7661.6743,1.6122819,91.57259,0.0
18,0.02051935,114.02113,0.9951339,2033.63,0.118050456,236.4375,149.57347,4711.435,100.13361,0.9807434,55.596497,0.005343225,1228.2079,113.39771,0.038712412,1442.73,0.02777482,1120.2969,150.12486,7282.24,0.35551107,92.06447,0.0
19,0.19146933,117.6046,0.99850255,2084.76,0.1345759,157.04688,149.18105,4549.6562,99.73039,0.98298293,-43.40903,0.0068924096,1173.7916,103.19207,0.12179686,1796.89,0.02268835,599.3906,150.30196,7004.899,1.710931,92.001114,0.0
20,0.016639922,113.71473,0.9984478,2087.64,0.05961219,149.39062,148.83057,4330.925,100.942795,0.98132795,45.683224,0.0043381257,1076.3247,106.03297,0.032451835,1842.66,0.010707899,512.53125,149.74478,6693.0117,0.20498373,92.64303,0.0
21,0.1849936,117.62957,0.9990043,2108.58,0.104811855,131.625,148.15259,3941.57,101.20199,0.9827759,-25.959044,0.006426129,936.306,99.51131,0.12972641,1938.37,0.02580275,366.39062,149.85912,5921.0005,1.7460276,92.865135,0.0
22,0.039066438,114.345055,0.9995654,2133.68,0.019431943,83.125,147.23233,3451.6326,103.20872,0.9802374,94.62241,0.005235177,710.01886,90.70165,0.04881172,1782.27,0.005992999,583.2969,148.6171,5090.4707,0.57552737,94.07272,0.0
23,0.1066502,114.95889,0.99956113,2145.52,0.048239227,82.28125,146.61845,2852.349,104.55621,0.98111683,24.524906,0.004087178,445.45984,88.29375,0.03730531,1762.83,0.007491639,779.3906,147.62045,4081.1167,0.4442806,95.65467,0.0
24,0.1385463,110.16032,0.9997079,2163.53,0.0434699,80.140625,142.48175,1712.0057,104.2624,0.9827111,-66.80312,0.006429791,214.80394,70.76224,0.16519253,1961.44,0.019180985,431.42188,146.7459,2382.1577,2.236263,97.36924,0.0
25,0.15575685,93.34224,0.9996709,2154.64,0.026623456,87.625,140.35646,1295.9756,103.46316,0.9832375,76.507866,0.0043320702,176.01997,69.35526,0.10246002,1999.18,0.0030969016,259.53125,143.0476,1820.4363,0.73361003,99.11155,0.0
26,0.019117441,107.48809,0.99984986,2148.87,0.018224677,58.796875,144.13606,2109.0657,105.44293,0.981577,15.719274,0.0037081714,270.83554,88.40437,0.014753573,1929.13,0.0024845933,428.29688,146.7958,2862.1914,0.020583767,98.137474,0.0
27,0.17593363,105.28461,0.9998901,2161.37,0.006484473,57.0625,141.87369,2116.446,100.7614,0.9808403,-17.99046,0.003899804,284.35165,69.70621,0.071390696,2034.73,0.0014777225,206.65625,143.07018,2624.4204,0.7377333,95.86513,0.0
28,0.16112031,106.506485,0.9998717,2147.79,0.036907926,62.265625,144.20612,2546.0684,105.916,0.98087865,117.0492,0.0053045414,379.73993,84.21985,0.11610204,2005.31,0.003230305,261.17188,146.66335,3464.0107,1.6623188,96.88631,0.0
29,0.030764505,114.626755,0.9994004,2124.82,0.028026763,83.0,147.0528,2936.2234,104.30602,0.9804208,34.885967,0.004253468,458.7621,87.94121,0.056558866,1981.05,0.00968829,240.51562,147.54085,4319.5347,0.19738932,94.84461,0.0
30,0.21991098,113.77384,0.99985975,2145.72,0.010798237,64.375,145.62996,2917.007,103.240555,0.9813428,-42.54906,0.00497572,484.19214,94.52755,0.19706483,1755.01,0.013324364,695.90625,146.46225,4155.7095,1.2853451,95.450935,0.0
31,0.120491356,108.641815,0.9984386,2101.71,0.11902262,138.51562,146.55344,3040.8667,104.61672,0.9796482,96.91685,0.0058676973,465.46075,97.62794,0.17346117,1717.3,0.021025047,677.5625,148.76543,4569.5635,1.3992903,95.35829,0.0
32,0.10363455,117.82887,0.99947494,2130.18,0.09495024,97.28125,146.34337,2960.9087,102.56866,0.9800263,-49.123398,0.006354685,451.2454,93.353485,0.14633273,1984.28,0.004937973,220.17188,149.91798,4415.2427,1.9410709,94.52052,0.0
33,0.17459111,111.66516,0.9997061,2133.39,0.036304604,87.3125,146.68448,3183.3672,103.98976,0.98067766,95.81114,0.0044027762,555.78564,92.85615,0.15064675,1940.22,0.009594503,329.46875,148.55946,4597.622,1.081135,94.71241,0.0
34,0.04017811,114.12405,0.9998336,2127.34,0.016966024,60.109375,147.00705,3354.653,103.06604,0.97987294,30.703894,0.0038952816,587.37476,92.40475,0.031535175,2007.18,0.0052591315,237.25,148.36047,4890.156,0.014266493,93.83001,0.0
35,0.17911331,114.23016,0.99985135,2132.91,0.020638356,67.046875,146.0071,3049.191,103.12515,0.9818786,-21.458635,0.0044229412,543.722,92.156425,0.094559796,1970.74,0.0055471295,341.64062,148.09682,4362.5713,1.0629817,94.28229,0.0
36,0.09004666,113.30936,0.9998201,2123.98,0.026460165,62.265625,146.9612,3447.472,102.62273,0.9816574,94.08966,0.005025697,599.8827,98.81636,0.10126758,2030.58,0.003546603,184.48438,148.7438,5238.892,1.4598589,93.81401,0.0
37,0.03852848,115.476875,0.9995383,2112.15,0.027161285,76.4375,147.92755,3683.768,101.77553,0.98056024,24.99515,0.004156064,660.0643,97.96996,0.015478651,1996.97,0.0066959276,214.59375,148.9894,5758.9243,0.19888672,92.87841,0.0
38,0.14290158,115.64789,0.99983376,2136.02,0.060908213,60.21875,146.82559,3470.3694,101.21251,0.98135966,-47.825554,0.005099602,677.49786,90.05793,0.087980114,2044.02,0.0037448492,185.71875,149.40816,5162.385,1.8240831,92.745804,0.0
39,0.18342419,113.284,0.9998132,2122.35,0.018313637,74.0,147.22626,3569.42,102.56097,0.9807585,103.44697,0.005541821,754.12506,92.6535,0.10672265,1855.73,0.012013342,571.75,148.4556,5387.6016,1.2968327,93.78927,0.0
40,0.010168399,115.09618,0.9995059,2111.65,0.009479881,78.859375,147.94296,3738.9895,102.02408,0.9812089,25.44998,0.0044816444,798.8473,91.701416,0.0044793827,2008.01,0.005096971,209.64062,149.34074,5543.27,0.083318144,93.14011,0.0
41,0.14327994,114.25231,0.9999196,2127.49,0.026310831,51.390625,146.43947,3390.3572,101.82737,0.98168564,-42.50395,0.0051627522,698.7627,90.10646,0.09526878,1978.63,0.0029676836,252.48438,147.91193,4898.8423,1.353801,93.49213,0.0
42,0.023762949,113.954666,0.99988115,2121.59,0.025332147,44.984375,146.37492,3160.3972,103.21045,0.9807905,32.999794,0.003843307,582.21967,88.77029,0.0059027043,1970.83,0.006341168,329.0,147.68918,4553.6113,0.40381727,94.39299,0.0
43,0.08969263,110.68945,0.9996501,2114.85,0.044705033,75.78125,145.68974,2950.4392,103.90029,0.98115116,129.62334,0.006221051,420.63672,93.2886,0.10183545,1899.88,0.0062567606,464.57812,148.0884,4385.9126,2.0157714,95.848335,0.0
44,0.042178646,115.9354,0.9997778,2117.39,0.017053822,59.109375,147.06197,2784.2546,102.68127,0.9802982,8.696698,0.0045945216,296.2846,88.32379,0.002651993,2020.38,0.00517822,218.54688,147.34203,4732.6167,0.285268,93.87918,0.0
45,0.02971057,104.28869,0.9999149,2143.35,0.022570753,52.46875,141.30902,1501.9006,100.009315,0.9830125,-45.484673,0.005256205,185.5494,72.3342,0.09834358,1844.55,0.0053266007,604.0156,145.47383,2273.6523,1.3574642,98.60305,0.0
46,0.2625518,106.34657,0.9998981,2134.79,0.009110909,50.484375,143.54349,2539.5981,104.24369,0.9830726,107.8374,0.005519374,335.2353,73.44505,0.19525966,1988.46,0.0038121387,276.84375,145.29803,3314.3389,1.6410797,97.93151,0.0
47,0.15130265,114.22872,0.9998508,2114.65,0.025113875,61.28125,146.83946,3393.2124,103.155716,0.98107284,52.07358,0.004832045,531.71765,87.43246,0.10963347,1889.23,0.005245091,498.84375,148.26941,4909.368,0.38000435,94.13436,0.0
48,0.1387429,115.75194,0.9998598,2120.78,0.047550052,52.125,147.02182,3696.6702,101.17592,0.9805061,-28.234,0.0051624603,688.95074,91.962875,0.11173054,1992.0,0.0043305107,247.78125,148.5499,5558.6025,1.1014236,93.228935,0.0
49,0.08242569,116.6415,0.99780214,2053.71,0.05753246,161.0,149.20909,4947.334,99.13298,0.97883254,111.59255,0.0057934043,1078.7457,108.37699,0.08288174,1765.48,0.02526083,590.5,151.58559,7767.008,1.3417372,91.37434,0.0
50,0.015577667,116.01496,0.9996974,2096.65,0.016386526,72.5,149.20697,4630.964,99.68245,0.98229754,34.274868,0.0044734804,1196.3556,109.294,0.025635839,1935.89,0.013920833,386.53125,151.26508,7381.9443,0.004013672,91.701866,0.0
51,0.20029067,116.25717,0.9997017,2093.82,0.05123986,65.40625,149.09764,5025.7427,98.44596,0.98113376,-42.79869,0.0062608635,1302.3925,105.44796,0.08871716,1945.96,0.009329019,318.40625,150.61946,7815.535,1.2715169,91.358864,0.0
52,0.15768936,114.67926,0.9996862,2078.89,0.052702617,84.0625,149.03418,4976.589,99.02739,0.9796641,114.232376,0.005991924,1284.4044,106.64054,0.05485896,1827.0,0.01657279,518.6875,150.63536,7744.416,1.363444,91.538956,0.0
53,0.012206945,116.24273,0.9997658,2072.47,0.04012087,56.59375,149.24449,4786.361,99.300224,0.9805332,4.7195115,0.0050846194,1222.1993,103.16829,0.035120465,1925.97,0.014316783,353.39062,150.21654,7538.0454,0.25228515,91.55068,0.0
54,0.16440101,116.0305,0.99965495,2083.45,0.04977645,81.625,148.46667,4480.8564,99.28938,0.9823157,-40.9835,0.0052035763,1140.3484,99.65874,0.07563383,1957.57,0.0047922432,311.5,150.27194,6958.5757,1.4335265,91.75377,0.0
55,0.113413766,114.64623,0.9998226,2081.52,0.01951867,61.4375,148.30974,4285.852,100.696266,0.981903,100.48602,0.005705137,1048.9554,96.76281,0.11136968,1780.27,0.021978788,753.7969,148.94228,6636.809,0.9783561,92.381386,0.0
56,0.062996075,115.84187,0.9998013,2084.95,0.038099263,60.609375,148.77036,4390.3184,100.248,0.9827982,40.324577,0.004053445,965.7095,104.33228,0.01163792,1789.51,0.026975522,733.5781,149.59338,6859.2114,0.2926465,91.93613,0.0
57,0.14543562,116.47948,0.9996873,2087.42,0.065993845,74.65625,147.76219,4046.179,100.074905,0.9809275,-64.10885,0.006036717,857.38226,95.41032,0.067328185,1982.3,0.0047718408,184.6875,150.31598,6160.696,1.7357845,92.41865,0.0
58,0.14079852,113.340546,0.9998286,2091.86,0.06909824,62.03125,148.0513,4311.0083,100.34969,0.98022467,112.34384,0.0050404477,910.665,106.17706,0.09310987,1938.95,0.008598971,343.71875,150.00279,6619.8516,1.2992675,92.66229,0.0
59,0.053430147,116.513,0.9998668,2079.81,0.02626381,54.578125,148.77196,4373.4287,100.09467,0.9818431,30.71379,0.004248662,937.7963,101.39029,0.02180933,1936.52,0.007191263,329.21875,149.61606,6882.5283,0.51743597,91.96293,0.0
60,0.09808168,115.273605,0.99981487,2090.44,0.026364548,62.625,147.79262,4000.2244,100.29806,0.98303926,-37.24356,0.005016183,908.7434,93.30025,0.05442612,1947.22,0.009595052,408.70312,149.1246,6174.455,1.281518,92.610115,0.0
61,0.0014442705,116.30458,0.99994314,2118.48,0.036848493,34.75,148.07336,4009.5085,100.60461,0.9879776,1.1500378,0.0038309048,913.11194,96.9925,0.0055734646,2007.44,0.0038014434,209.75,149.7827,6340.542,0.5688032,92.66497,0.0
62,0.12266964,113.69962,0.9997554,2091.51,0.034294736,69.640625,147.79256,3985.9578,101.197754,0.9828286,99.64989,0.0050033727,874.1753,96.78564,0.08148217,1973.62,0.008003812,278.8125,149.54196,6203.416,1.2347298,93.13985,0.0
63,0.06946524,116.07535,0.99985087,2093.98,0.042152885,55.4375,147.89232,3767.8647,101.67798,0.98203033,4.205269,0.0046671783,803.01746,103.68967,0.083388545,1846.07,0.017680245,616.6719,149.88217,5847.7295,0.5299034,92.73325,0.0
64,0.07412798,114.989655,0.99974227,2104.51,0.012850162,64.03125,146.87183,3556.0806,101.53614,0.9828594,-25.378653,0.0047107106,710.41797,87.949745,0.04598461,2015.78,0.0024308853,233.17188,148.65685,5374.554,1.0605143,93.146355,0.0
65,0.09586313,113.295494,0.9997571,2100.57,0.043798007,66.0,147.0093,3556.6943,102.595436,0.9813995,126.3858,0.006304632,624.05566,102.29104,0.12232366,1906.93,0.010598555,502.4375,149.92053,5373.3706,2.1094162,94.23247,0.0
66,0.022409296,116.12489,0.9997936,2095.07,0.03293576,61.328125,147.46616,3363.2463,102.709564,0.98169506,12.186601,0.0042430414,532.9173,89.72401,0.037579127,2038.81,0.0043900586,189.9375,148.23988,5102.144,0.6359353,93.429726,0.0
67,0.10879876,115.87425,0.999836,2109.44,0.04712586,60.4375,146.99713,3436.015,101.46056,0.9839662,-55.275475,0.0063860123,627.0556,92.61473,0.08283102,1967.14,0.007689977,324.4375,149.6521,5269.425,1.6407303,93.06574,0.0
